nom_estab|raz_social|codigo_act|nombre_act|per_ocu|tipo_vial|nom_vial|tipo_v_e_1|nom_v_e_1|tipo_v_e_2|nom_v_e_2|tipo_v_e_3|nom_v_e_3|numero_ext|letra_ext|edificio|edificio_e|numero_int|letra_int|tipo_asent|nomb_asent|tipocencom|nom_cencom|num_local|cod_postal|cve_ent|entidad|cve_mun|municipio|cve_loc|localidad|ageb|manzana|telefono|correoelec|www|tipounieco|latitud|longitud|fecha_alta
HOSTALES CASA MX ALAMEDA|RECINTO ALAMEDA 2017 SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|SOTO|CALLE|MINA|CALLE|VIOLETA|CALLE|ZARCO|72||||||COLONIA|GUERRERO||||06300|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0625|006||||Fijo|19.4403374300000000|-99.144675250000000|2019-11
HOSTEL HIPSTER ROMA||721190|Cabañas, villas y similares|0 a 5 personas|EJE VIAL|2-A SUR (SAN LUIS POTOSI)|CALLE|CORDOBA|CALLE|ORIZABA|EJE VIAL|2 SUR (AVENIDA QUERÉTARO)|67||||||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1110|005||||Fijo|19.4145081700000000|-99.157753610000000|2019-11
HOSTEL HOME|HOSTEL HOME SA DE CV|721190|Cabañas, villas y similares|0 a 5 personas|CALLE|TABASCO|CALLE|MEDELLIN|CALLE|VALLADOLID|CALLE|COLIMA|303||||0||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1093|002||HOSTELHOME@GMAIL.COM||Fijo|19.4176777400000000|-99.166857250000000|2014-12
HOSTAL CONDESA CHAPULTEPEC|J COMERCIAL SA DE CV|721190|Cabañas, villas y similares|0 a 5 personas|CALLE|COZUMEL|CALLE|DURANGO|CALLE|COLIMA|AVENIDA|SONORA|53|A|||||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1182|015||||Fijo|19.4181724400000000|-99.170803060000000|2010-07
HOSTAL GAEL||721190|Cabañas, villas y similares|0 a 5 personas|AVENIDA|NUEVO LEON|CALLE|ALFONSO REYES|CALLE|ALTATA|CALLE|ALTATA|179||||||COLONIA|HIPODROMO||||06100|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1337|015|5578224182|RECEPCION@GAELCONDESA.COM|WWW.GAELCONDESA.COM|Fijo|19.4067707500000000|-99.172162440000000|2019-11
HOSTAL SAN ANTONIO||721190|Cabañas, villas y similares|0 a 5 personas|CALLE|REPUBLICA DE URUGUAY|CALLE|20 DE NOVIEMBRE|AVENIDA|JOSE MARIA PINO SUAREZ|CALLE|VENUSTIANO CARRANZA|106|||||A|COLONIA|CENTR0||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0818|016||||Fijo|19.4299855700000000|-99.132829760000000|2019-11
CABAÑAS CABO SAN LUCAS SA DE CV|CABAÑAS CABO SAN LUCAS SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|AVENIDA|MINERVA|AVENIDA|HORTENSIA|AVENIDA|UNIVERSIDAD|CALLE|MARGARITAS|1571||||||COLONIA|FLORIDA||||01030|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|1063|003||||Fijo|19.3524733700000000|-99.177309120000000|2012-06
HOSTAL SIN NOMBRE|HOSTAL IN|721190|Cabañas, villas y similares|0 a 5 personas|CALLEJON|CALLEJON DOLORES|CALLE|ARTICULO 123|CALLE|INDEPENDENCIA|CALLE|ARTICULO 123|8||8|1|||COLONIA|CENTRO (AREA 1)|OTRO CONGLOMERADO|SIN NOMBRE|8|06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0748|004||||Fijo|19.4324825200000000|-99.142717270000000|2019-11
HOSTAL VALLEJO|HOSTAL VALLEJO S DE RL|721190|Cabañas, villas y similares|11 a 30 personas|EJE VIAL|1 PONIENTE (CALZADA VALLEJO)|CALLE|4-A|AVENIDA|3-A|AVENIDA|3-A|1660||||||COLONIA|SANTA ROSA||||07620|09|CIUDAD DE MÉXICO|005|Gustavo A. Madero|0001|Gustavo A. Madero|0436|018||ADMON@HOSTALVALLEJO.COM|WWW.HOSTALVALLEJO.COM|Fijo|19.5195780900000000|-99.163984620000000|2019-11
HOSTAL ZCALO|HOSTAL ZOCALO SA DE CV|721190|Cabañas, villas y similares|0 a 5 personas|CALLE|REPUBLICA DE URUGUAY|AVENIDA|JOSE MARIA PINO SUAREZ|CALLE|TABAQUEROS|CALLE|VENUSTIANO CARRANZA|112||CENTRO Y PLAZA COMERCIAL|1|||COLONIA|CENTRO|CENTRO Y PLAZA COMERCIAL|PLAZA NUEVO VOLADOR|112|06060|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0907|015||||Fijo|19.4299114700000000|-99.132328910000000|2019-11
